Trait Name,Score,Assessment,Connotation,Contributing SNPs,Inhibiting SNPs 
Muscle Strength Loss,10,NORMAL,Risky,rs13266634 rs7924316,
Muscular Strength,85,ADVANTAGED,Positive,rs6220 rs7136446,
Music Performance Aptitude,20,TYPICAL,Positive,rs13146789 rs4833107,
Musical Creativity,5,TYPICAL,Positive,rs4242493,
Noise-induced hearing loss,40,NORMAL,Risky,rs7598759,
Optimism,15,TYPICAL,Positive,rs2075677,
Overall Fitness Benefits,5,TYPICAL,Positive,,
Overall Tendon and Ligament Injury Risk,30,NORMAL,Risky,rs1800255,rs240736
Overweight Potential,5,NORMAL,Risky,,
Phosphorus Deficiency,5,NORMAL,Risky,,
Photoaging,10,NORMAL,Risky,rs17740066 rs6775899,
Pollution Defense impairment,30,NORMAL,Risky,rs1800566 rs1051740,
Polyunsaturated Fats Increased Benefits,45,TYPICAL,Positive,rs10761785 rs3134950,
Poor tanning ability,5,NORMAL,Risky,rs10831496,
Power,5,TYPICAL,Positive,rs1815739,
Protection from Skin Cellulite,80,TYPICAL,Positive,,
Reading Aptitude,80,SLIGHTLY ADVANTAGED,Positive,rs17135159 rs1859596 rs10508253 rs479526 rs11158345 rs12050412,rs11577628 rs3756821 rs807701 rs9366577
Resistance to Stomach Flu,35,TYPICAL,Positive,,
Risk from Saturated Fats,70,SLIGHTLY ELEVATED,Risky,rs5082,
Sagging Eyelids Risk,10,NORMAL,Risky,rs6714226,rs10034082 rs11876749
Satiety Impairment,15,NORMAL,Risky,rs1137101,
Seasonality,10,NORMAL,Risky,rs7870657,
Selenium Deficiency,40,NORMAL,Risky,rs6859667 rs7702905 rs352889 rs234709,
Sensitivity to Benzene,25,NORMAL,Risky,rs1800566 rs1051740,
Sensitivity to Mercury,65,SLIGHTLY ELEVATED,Risky,rs1695 rs5748469 rs367836 rs1061472 rs405729 rs6265 rs732774 rs7579,
Sensitivity to PCB,5,NORMAL,Risky,,
Sensitivity to Salt,15,NORMAL,Risky,rs1010069 rs2758151 rs9402571 rs848307,
Sensitivity to Sun,5,NORMAL,Risky,,
Skeletal Muscle Performance,50,TYPICAL,Positive,rs659366,
Skin Antioxidant Deficiency,5,NORMAL,Risky,rs4880,
Skin Barrier Sensitivity,80,NORMAL,Risky,rs3126085,
Skin Detoxification impairment,30,NORMAL,Risky,rs1695,
Skin Glycation,15,NORMAL,Risky,rs2736654,
Skin Inflammation,20,NORMAL,Risky,rs1800797,
Skin Rosacea,30,NORMAL,Risky,,
Skin Stretch Marks,15,NORMAL,Risky,,
Slow Muscle Repair,15,NORMAL,Risky,rs1143634 rs1205 rs16944 rs7924316 rs4880,
Snacking,25,NORMAL,Risky,rs1051168,
Sociability,5,TYPICAL,Positive,rs53576 rs1042778 rs237887,
Starch Metabolism,10,NORMAL,Risky,,rs1930212 rs6696797
Stress Fracture,5,NORMAL,Risky,,
Sweet Snack Preference,5,NORMAL,Risky,,
Sweet Tooth,30,NORMAL,Risky,rs1499821,
Trans Fats Sensitivity,25,NORMAL,Risky,,
Vitamin A (Carotene) Deficiency,15,NORMAL,Risky,,
Vitamin A (Retinol) Deficiency,5,NORMAL,Risky,rs7501331,
Vitamin B1 Deficiency,90,ELEVATED,Risky,rs11691652,
Vitamin B12 Deficiency,90,ELEVATED,Risky,rs1801394 rs1801131 rs1801198 rs1802059,rs10515552
Vitamin B2 Deficiency,70,SLIGHTLY ELEVATED,Risky,rs1801394 rs1801131,
Vitamin B3 Deficiency,80,NORMAL,Risky,,
Vitamin B5 Deficiency,25,NORMAL,Risky,,
Vitamin B6 Deficiency,5,NORMAL,Risky,,
Vitamin B7 Deficiency,85,SLIGHTLY ELEVATED,Risky,rs7651039,
Vitamin B9 Deficiency,5,NORMAL,Risky,rs1801394 rs1801131 rs234706,
Vitamin C Deficiency,55,SLIGHTLY ELEVATED,Risky,rs74837985 rs10063949 rs6133175,
Vitamin D Deficiency,25,NORMAL,Risky,rs731236 rs7944926 rs1993116 rs1544410 rs12800438,
Vitamin E Deficiency,30,NORMAL,Risky,rs3741920 rs7834588,
Vitamin K Deficiency,25,NORMAL,Risky,,
Warrior Personality,30,TYPICAL,Positive,rs6323,
Worrier Personality,70,ELEVATED,Risky,rs4680,
Youthfulness,70,TYPICAL,Positive,,
Zinc Deficiency,10,NORMAL,Risky,,
